symbol,name,type,region,
3888,金山軟件,stock,hk,
780,同程旅行,stock,hk,
656,復星國際,stock,hk,
2638,港燈-SS,stock,hk,
2588,中銀航空租賃,stock,hk,
6110,滔搏,stock,hk,
17,新世界發展,stock,hk,
123,越秀地產,stock,hk,
270,粵海投資,stock,hk,
631,三一國際,stock,hk,
1910,新秀麗,stock,hk,
2208,金風科技,stock,hk,
1818,招金礦業,stock,hk,
6979,珍酒李渡,stock,hk,
1908,建發國際集團,stock,hk,
1308,海豐國際,stock,hk,
1797,東方甄選,stock,hk,
3800,協鑫科技,stock,hk,
2380,中國電力,stock,hk,
3998,波司登,stock,hk,
2880,遼港股份,stock,hk,
1877,君實生物,stock,hk,
598,中國外運,stock,hk,
3323,中國建材,stock,hk,
268,金蝶國際,stock,hk,
659,周大福創建,stock,hk,
1033,中石化油服,stock,hk,
2367,巨子生物,stock,hk,
6060,眾安在綫,stock,hk,
392,北京控股,stock,hk,
3931,中創新航,stock,hk,
3668,兗煤澳大利亞,stock,hk,
9992,泡泡瑪特,stock,hk,
921,海信家電,stock,hk,
3698,徽商銀行,stock,hk,
9885,藥師幫,stock,hk,
1513,麗珠醫藥,stock,hk,
3320,華潤醫藥,stock,hk,
2039,中集集團,stock,hk,
1066,威高股份,stock,hk,
1385,上海復旦,stock,hk,
9995,榮昌生物,stock,hk,
9926,康方生物,stock,hk,
1359,中國信達,stock,hk,
2799,中信金融資產,stock,hk,
1456,國聯民生,stock,hk,
1044,恒安國際,stock,hk,
966,中國太平,stock,hk,
772,閱文集團,stock,hk,
2669,中海物業,stock,hk,
2357,中航科工,stock,hk,
2007,碧桂園,stock,hk,
2866,中遠海發,stock,hk,
338,上海石油化工股份,stock,hk,
467,聯合能源集團,stock,hk,
6098,碧桂園服務,stock,hk,
867,康哲藥業,stock,hk,
522,ASMPT,stock,hk,
6078,海吉亞醫療,stock,hk,
8,電訊盈科,stock,hk,
317,中船防務,stock,hk,
347,鞍鋼股份,stock,hk,
1882,海天國際,stock,hk,
489,東風集團股份,stock,hk,
956,新天綠色能源,stock,hk,
576,浙江滬杭甬,stock,hk,
6199,貴州銀行,stock,hk,
3360,遠東宏信,stock,hk,
425,敏實集團,stock,hk,
1963,重慶銀行,stock,hk,
220,統一企業中國,stock,hk,
552,中國通信服務,stock,hk,
1551,廣州農商銀行,stock,hk,
136,中國儒意,stock,hk,
9898,微博-SW,stock,hk,
564,中創智領,stock,hk,
6680,金力永磁,stock,hk,
1999,敏華控股,stock,hk,
853,微創醫療,stock,hk,
2009,金隅集團,stock,hk,
3900,綠城中國,stock,hk,
880,澳博控股,stock,hk,
1799,新特能源,stock,hk,
13,和黃醫藥,stock,hk,
1208,五礦資源,stock,hk,
9668,渤海銀行,stock,hk,
2689,玖龍紙業,stock,hk,
525,廣深鐵路股份,stock,hk,
148,建滔集團,stock,hk,
1508,中國再保險,stock,hk,
1833,平安好醫生,stock,hk,
548,深圳高速公路股份,stock,hk,
323,馬鞍山鋼鐵股份,stock,hk,
6623,陸控,stock,hk,
3660,奇富科技-S,stock,hk,
683,嘉里建設,stock,hk,
53,國浩集團,stock,hk,
1528,紅星美凱龍,stock,hk,
3650,KEEP,stock,hk,
1368,特步國際,stock,hk,
9688,再鼎醫藥,stock,hk,
1114,BRILLIANCE CHI,stock,hk,
1958,北京汽車,stock,hk,
69,香格里拉(亞洲),stock,hk,
6049,保利物業,stock,hk,
6869,長飛光纖光纜,stock,hk,
1888,建滔積層板,stock,hk,
