symbol,name,type,region,
600061,国投资本,stock,sh,
601061,中信金属,stock,sh,
603833,欧派家居,stock,sh,
600183,生益科技,stock,sh,
601117,中国化学,stock,sh,
600515,海南机场,stock,sh,
601799,星宇股份,stock,sh,
601567,三星医疗,stock,sh,
600219,南山铝业,stock,sh,
603939,益丰药房,stock,sh,
688188,柏楚电子,stock,sh,
600350,山东高速,stock,sh,
600642,申能股份,stock,sh,
600418,江淮汽车,stock,sh,
603605,珀莱雅,stock,sh,
688082,盛美上海,stock,sh,
688126,沪硅产业,stock,sh,
600685,中船防务,stock,sh,
688777,中控技术,stock,sh,
601958,金钼股份,stock,sh,
688047,龙芯中科,stock,sh,
600925,苏能股份,stock,sh,
600871,石化油服,stock,sh,
603899,晨光股份,stock,sh,
600968,海油发展,stock,sh,
600096,云天化,stock,sh,
601108,财通证券,stock,sh,
600956,新天绿能,stock,sh,
688072,拓荆科技,stock,sh,
601555,东吴证券,stock,sh,
600566,济川药业,stock,sh,
688469,芯联集成,stock,sh,
688349,三一重能,stock,sh,
601236,红塔证券,stock,sh,
603658,安图生物,stock,sh,
601233,桐昆股份,stock,sh,
601880,辽港股份,stock,sh,
603688,石英股份,stock,sh,
600460,士兰微,stock,sh,
600348,华阳股份,stock,sh,
600177,雅戈尔,stock,sh,
600079,人福医药,stock,sh,
600109,国金证券,stock,sh,
601456,国联证券,stock,sh,
603568,伟明环保,stock,sh,
601866,中远海发,stock,sh,
603156,养元饮品,stock,sh,
600132,重庆啤酒,stock,sh,
601231,环旭电子,stock,sh,
603606,东方电缆,stock,sh,
600487,亨通光电,stock,sh,
603979,金诚信,stock,sh,
600998,九州通,stock,sh,
601216,君正集团,stock,sh,
601577,长沙银行,stock,sh,
600895,张江高科,stock,sh,
601966,玲珑轮胎,stock,sh,
600378,昊华科技,stock,sh,
600970,中材国际,stock,sh,
600153,建发股份,stock,sh,
688538,和辉光电,stock,sh,
600060,海信视像,stock,sh,
600995,南网储能,stock,sh,
600295,鄂尔多斯,stock,sh,
600118,中国卫星,stock,sh,
600546,山煤国际,stock,sh,
603816,顾家家居,stock,sh,
600873,梅花生物,stock,sh,
603338,浙江鼎力,stock,sh,
600863,内蒙华电,stock,sh,
600518,康美药业,stock,sh,
600157,永泰能源,stock,sh,
600754,锦江酒店,stock,sh,
600582,天地科技,stock,sh,
600038,中直股份,stock,sh,
603000,人民网,stock,sh,
600583,海油工程,stock,sh,
688617,惠泰医疗,stock,sh,
600688,上海石化,stock,sh,
600801,华新水泥,stock,sh,
600707,彩虹股份,stock,sh,
600282,南钢股份,stock,sh,
601990,南京证券,stock,sh,
688331,荣昌生物,stock,sh,
601156,东航物流,stock,sh,
600988,赤峰黄金,stock,sh,
601666,平煤股份,stock,sh,
688819,天能股份,stock,sh,
601928,凤凰传媒,stock,sh,
603885,吉祥航空,stock,sh,
601696,中银证券,stock,sh,
600497,驰宏锌锗,stock,sh,
601179,中国西电,stock,sh,
603529,爱玛科技,stock,sh,
688375,国博电子,stock,sh,
603160,汇顶科技,stock,sh,
600352,浙江龙盛,stock,sh,
600549,厦门钨业,stock,sh,
688363,华熙生物,stock,sh,
688120,华海清科,stock,sh,
601158,重庆水务,stock,sh,
601717,郑煤机,stock,sh,
688295,中复神鹰,stock,sh,
600517,国网英大,stock,sh,
688249,晶合集成,stock,sh,
600885,宏发股份,stock,sh,
600884,杉杉股份,stock,sh,
600606,绿地控股,stock,sh,
600536,中国软件,stock,sh,
688180,君实生物,stock,sh,
600816,建元信托,stock,sh,
600862,中航高科,stock,sh,
600705,中航产融,stock,sh,
600483,福能股份,stock,sh,
600702,舍得酒业,stock,sh,
603298,杭叉集团,stock,sh,
688297,中无人机,stock,sh,
601228,广州港,stock,sh,
603379,三美股份,stock,sh,
600673,东阳光,stock,sh,
603087,甘李药业,stock,sh,
601198,东兴证券,stock,sh,
603882,金域医学,stock,sh,
688385,复旦微电,stock,sh,
601162,天风证券,stock,sh,
600369,西南证券,stock,sh,
600298,安琪酵母,stock,sh,
600839,四川长虹,stock,sh,
688065,凯赛生物,stock,sh,
601963,重庆银行,stock,sh,
600732,爱旭股份,stock,sh,
603345,安井食品,stock,sh,
601001,晋控煤业,stock,sh,
688278,特宝生物,stock,sh,
688475,萤石网络,stock,sh,
603786,科博达,stock,sh,
600007,中国国贸,stock,sh,
600637,东方明珠,stock,sh,
688122,西部超导,stock,sh,
600848,上海临港,stock,sh,
603589,口子窖,stock,sh,
600511,国药股份,stock,sh,
601000,唐山港,stock,sh,
600699,均胜电子,stock,sh,
600021,上海电力,stock,sh,
603290,斯达半导,stock,sh,
600072,中船科技,stock,sh,
603233,大参林,stock,sh,
688114,华大智造,stock,sh,
600004,白云机场,stock,sh,
600535,天士力,stock,sh,
603596,伯特利 ,stock,sh,
688563,航材股份,stock,sh,
600879,航天电子,stock,sh,
600655,豫园股份,stock,sh,
600779,水井坊,stock,sh,
603728,鸣志电器,stock,sh,
600299,安迪苏,stock,sh,
600704,物产中大,stock,sh,
601019,山东出版,stock,sh,
688516,奥特维,stock,sh,
600906,财达证券,stock,sh,
600977,中国电影,stock,sh,
600131,国网信通,stock,sh,
601098,中南传媒,stock,sh,
600329,达仁堂,stock,sh,
688153,唯捷创芯,stock,sh,
600765,中航重机,stock,sh,
600563,法拉电子,stock,sh,
688387,信科移动,stock,sh,
603341,龙旗科技,stock,sh,
688525,佰维存储,stock,sh,
601869,长飞光纤,stock,sh,
688301,奕瑞科技,stock,sh,
603225,新凤鸣,stock,sh,
600012,皖通高速,stock,sh,
600100,同方股份,stock,sh,
600578,京能电力,stock,sh,
600166,福田汽车,stock,sh,
600098,广州发展,stock,sh,
689009,九号公司,stock,sh,
688561,奇安信,stock,sh,
601918,新集能源,stock,sh,
600872,中炬高新,stock,sh,
600486,扬农化工,stock,sh,
600598,北大荒,stock,sh,
601615,明阳智能,stock,sh,
600909,华安证券,stock,sh,
601099,太平洋,stock,sh,
601212,白银有色,stock,sh,
601611,中国核建,stock,sh,
600867,通化东宝,stock,sh,
601118,海南橡胶,stock,sh,
600390,五矿资本,stock,sh,
601155,新城控股,stock,sh,
603179,新泉股份,stock,sh,
600498,烽火通信,stock,sh,
601665,齐鲁银行,stock,sh,
600062,华润双鹤,stock,sh,
600580,卧龙电驱,stock,sh,
688032,禾迈股份,stock,sh,
603868,飞科电器,stock,sh,
688578,艾力斯,stock,sh,
601139,深圳燃气,stock,sh,
600548,深高速,stock,sh,
603893,瑞芯微,stock,sh,
600737,中粮糖业,stock,sh,
688234,天岳先进,stock,sh,
601933,永辉超市,stock,sh,
688425,铁建重工,stock,sh,
601333,广深铁路,stock,sh,
600170,上海建工,stock,sh,
603486,科沃斯,stock,sh,
600141,兴发集团,stock,sh,
600720,中交设计,stock,sh,
600499,科达制造,stock,sh,
600380,健康元,stock,sh,
603826,坤彩科技,stock,sh,
601992,金隅集团,stock,sh,
601399,国机重装,stock,sh,
605296,神农集团,stock,sh,
600008,首创环保,stock,sh,
600373,中文传媒,stock,sh,
603077,和邦生物,stock,sh,
600901,江苏金租,stock,sh,
688017,绿的谐波,stock,sh,
688099,晶晨股份,stock,sh,
688568,中科星图,stock,sh,
600529,山东药玻,stock,sh,
600820,隧道股份,stock,sh,
